Node Number,X Location (in),Y Location (in),Z Location (in)
722,4.7519,0.30848,0.1
723,4.9123,0.30854,0.1
724,5.0727,0.30861,0.1
725,5.2331,0.30867,0.1
726,5.3935,0.30873,0.1
727,5.5539,0.30879,0.1
728,5.7143,0.30885,0.1
729,5.8747,0.30891,0.1
730,6.0351,0.30897,0.1
731,6.1955,0.30903,0.1
732,6.3559,0.30909,0.1
733,6.5163,0.30915,0.1
734,6.6767,0.30921,0.1
735,6.8371,0.30928,0.1
736,6.9975,0.30934,0.1
737,7.1579,0.3094,0.1
738,7.3183,0.30946,0.1
739,7.4787,0.30952,0.1
740,7.6391,0.30958,0.1
741,7.7995,0.30964,0.1
742,7.9599,0.3097,0.1
743,8.1203,0.30976,0.1
744,8.2807,0.30982,0.1
745,8.4411,0.30988,0.1
746,8.6015,0.30994,0.1
747,8.7619,0.31001,0.1
748,8.9223,0.31007,0.1
749,9.0827,0.31013,0.1
750,9.2431,0.31019,0.1
751,9.4035,0.31025,0.1
752,9.5639,0.31031,0.1
753,9.7243,0.31037,0.1
754,9.8847,0.31043,0.1
755,10.045,0.31049,0.1
756,10.206,0.31055,0.1
757,10.366,0.31061,0.1
758,10.526,0.31068,0.1
759,10.687,0.31074,0.1
760,10.847,0.3108,0.1
761,11.008,0.31086,0.1
762,11.168,0.31092,0.1
763,11.328,0.31098,0.1
764,11.489,0.31104,0.1
765,11.649,0.3111,0.1
766,11.81,0.31116,0.1
767,11.97,0.31122,0.1
768,12.13,0.31128,0.1
769,12.291,0.31135,0.1
770,12.451,0.31141,0.1
771,12.612,0.31147,0.1
772,12.772,0.31153,0.1
773,12.932,0.31159,0.1
774,13.093,0.31165,0.1
775,13.253,0.31171,0.1
776,13.414,0.31177,0.1
777,13.574,0.31183,0.1
778,13.734,0.31189,0.1
779,13.895,0.31195,0.1
780,14.055,0.31201,0.1
781,14.216,0.31208,0.1
782,14.376,0.31214,0.1
783,14.536,0.3122,0.1
784,14.697,0.31226,0.1
785,14.857,0.31232,0.1
786,15.018,0.31238,0.1
787,15.178,0.31244,0.1
788,15.338,0.3125,0.1
789,15.499,0.31256,0.1
790,15.659,0.31262,0.1
791,15.82,0.31268,0.1
792,15.98,0.31275,0.1
793,16.14,0.31281,0.1
794,16.301,0.31287,0.1
795,16.461,0.31293,0.1
796,16.622,0.31299,0.1
797,16.782,0.31305,0.1
798,16.942,0.31311,0.1
799,17.103,0.31317,0.1
800,17.263,0.31323,0.1
801,17.424,0.31329,0.1
802,17.584,0.31335,0.1
803,17.744,0.31342,0.1
804,17.905,0.31348,0.1
805,18.065,0.31354,0.1
806,18.226,0.3136,0.1
807,18.386,0.31366,0.1
808,18.546,0.31372,0.1
809,18.707,0.31378,0.1
810,18.867,0.31384,0.1
811,19.028,0.3139,0.1
812,19.188,0.31396,0.1
813,19.348,0.31402,0.1
814,19.509,0.31408,0.1
815,19.669,0.31415,0.1
816,19.83,0.31421,0.1
817,19.99,0.31427,0.1
818,20.15,0.31433,0.1
819,20.311,0.31439,0.1
820,20.471,0.31445,0.1
821,20.632,0.31451,0.1
822,20.792,0.31457,0.1
823,20.952,0.31463,0.1
824,21.113,0.31469,0.1
825,21.273,0.31475,0.1
826,21.434,0.31482,0.1
827,21.594,0.31488,0.1
828,21.754,0.31494,0.1
829,21.915,0.315,0.1
830,22.075,0.31506,0.1
831,22.236,0.31512,0.1
832,22.396,0.31518,0.1
833,22.556,0.31524,0.1
834,22.717,0.3153,0.1
835,22.877,0.31536,0.1
836,23.038,0.31542,0.1
837,23.198,0.31549,0.1
838,23.358,0.31555,0.1
839,23.519,0.31561,0.1
840,23.679,0.31567,0.1
841,23.84,0.31573,0.1
842,2.8271,0.46163,0.1
843,2.9875,0.46172,0.1
844,3.1479,0.46181,0.1
845,3.3083,0.4619,0.1
846,3.4687,0.462,0.1
847,3.6291,0.46209,0.1
848,3.7895,0.46218,0.1
849,3.9499,0.46227,0.1
850,4.1103,0.46236,0.1
851,4.2707,0.46245,0.1
852,4.4311,0.46254,0.1
853,4.5915,0.46263,0.1
854,4.7519,0.46273,0.1
855,4.9123,0.46282,0.1
856,5.0727,0.46291,0.1
857,5.2331,0.463,0.1
858,5.3935,0.46309,0.1
859,5.5539,0.46318,0.1
860,5.7143,0.46327,0.1
861,5.8747,0.46336,0.1
862,6.0351,0.46346,0.1
863,6.1955,0.46355,0.1
864,6.3559,0.46364,0.1
865,6.5163,0.46373,0.1
866,6.6767,0.46382,0.1
867,6.8371,0.46391,0.1
868,6.9975,0.464,0.1
869,7.1579,0.4641,0.1
870,7.3183,0.46419,0.1
871,7.4787,0.46428,0.1
872,7.6391,0.46437,0.1
873,7.7995,0.46446,0.1
874,7.9599,0.46455,0.1
875,8.1203,0.46464,0.1
876,8.2807,0.46473,0.1
877,8.4411,0.46483,0.1
878,8.6015,0.46492,0.1
879,8.7619,0.46501,0.1
880,8.9223,0.4651,0.1
881,9.0827,0.46519,0.1
882,9.2431,0.46528,0.1
883,9.4035,0.46537,0.1
884,9.5639,0.46547,0.1
885,9.7243,0.46556,0.1
886,9.8847,0.46565,0.1
887,10.045,0.46574,0.1
888,10.206,0.46583,0.1
889,10.366,0.46592,0.1
